V1,StartDate,EndDate,_v1,RecordedDate,ResponseId,qmetadata_Browser,qmetadata_Version,_v2,qmetadata_Resolution,follow,reg1,votemail1a,votemail1b,votecount,votemail2,voterid1,voterid2,turnout16a,turnout16a1,turnout16b,vote16,hopeful,afraid,outraged,angry,happy,worried,proud,irritated,nervous,meeting,moneyorg,protest,online,persuade,button,moneycand,argument,particip_none,talk1,talk2,talk3,fttrump1,ftobama1,ftbiden1,ftwarren1,ftsanders1,ftbuttigieg1,ftharris1,ftklobuchar1,ftpence1,ftyang1,ftpelosi1,ftrubio1,ftocasioc1,fthaley1,ftthomas1,ftfauci1,ftblack,ftwhite,fthisp,ftasian,ftillegal,ftfeminists,ftmetoo,fttransppl,ftsocialists,ftcapitalists,ftbigbusiness,ftlaborunions,ftrepublicanparty,ftdemocraticparty,primaryvote,vote20jb,vote20bs,cvote2020,apppres7,frnpres7,immpres7,econpres7,covidpres7,healthcarepres7,check,dtleader1,dtleader2,dtcares,dtdignif,dthonest,dtauth,dtdiv,dtknow,jbleader1,jbleader2,jbcares,jbdignif,jbhonest,jbauth,jbdiv,jbknow,bsleader1,bsleader2,bscares,bsdignif,bshonest,bsauth,bsdiv,bsknow,econnow,finworry,confecon,taxecon,billtax1,billtax2,richpoor2,guarinc1,guarinc2,lcself,lcd,lcr,freemkt1a,freemkt1b,freemkt2,freemkt3,govsize1a,govsize1b,govsize2,govsize3,regulate1,regulate2,ineqinc1a,strpres1a,strpres1b,mutual,leastgrp,tol_rally,tol_pres,tol_teach,antirelig1,antirelig2,racist1,racist2,immignum,wall7,pathway,return,open,affact,hlthcare1,hlthcare2,covid1,covid2,covid_elect,abort1,abort_imp,abort2,gayadopt,transmilit1a,transmilit1b,harass,freecol1,freecol2,loans1,loans2,diversity7,experts,science,exphelp,excessive,compro1,compro2,pcorrect,selfcensor,childrear1,childrear2,childrear3,childrear4,rural2,rural3,rural4,mis_covid1,conf_covid1,mis_covid2,conf_covid2,impeach1,impeach2,pid1r,pid2r,pidstr,pidlean,pidstr1,pidstr2,pidstr3,rr1,rr2,rr3,rr4,health1,relig1,relig1_11_TEXT,relig2a,relig2b,att1,att2,att3,fundmt1,fundmt2,socmed_1,socmed_2,socmed_3,socmed_4,socmed_5,socmed_6,socmed_7,socmed_8,socmed_9,facebook1,twitter1,impact1,impact2,impact3,impact4,impact5,impact6,impact7,impact8,impact9,ethnic1,ethnic2,ethnic3,latin1,race1a_1,race1a_2,race1a_3,race1a_4,race1a_5,race1b_1,race1b_2,race1b_3,race1b_4,race1b_5,groupid1a_lat,groupid2a_lat,groupid3a_lat,groupid1a_whi,groupid1a_bla,groupid1a_nat,groupid1a_asi,groupid1a_hpi,groupid2a_whi,groupid2a_bla,groupid2a_nat,groupid2a_asi,groupid2a_hpi,groupid3a_whi,groupid3a_bla,groupid3a_nat,groupid3a_asi,groupid3a_hpi,groupid1b_lat,groupid2b_lat,groupid3b_lat,groupid1b_whi,groupid1b_bla,groupid1b_nat,groupid1b_asi,groupid1b_hpi,groupid2b_whi,groupid2b_bla,groupid2b_nat,groupid2b_asi,groupid2b_hpi,groupid3b_whi,groupid3b_bla,groupid3b_nat,groupid3b_asi,groupid3b_hpi,whitejob,femid1a,femid1b,femid2_fem,femid2_anti,femid2_nei,knowtran1,knowtran2_1,knowtran2_2,knowtran2_3,knowtran2_4,knowtran2_5,knowtran2_6,knowgay1,knowgay2_1,knowgay2_2,knowgay2_3,knowgay2_4,knowgay2_5,knowgay2_6,stress1,stress2,stress3,stress4,depress1,depress2,depress3,depress4,depress5,callout1,speech1,forgive1a,forgive1b,callout2,speech2,forgive2a,forgive2b,divmoral,forgive3,moralsup1,duepro3,moralcert3,forgive5,intelsup1,moralcert1,duepro4,moralcert6,forgive4,moralcert2,duepro1,callout3a,callout3b,moralsup2,duepro2,intelsup2,duepro5,moralcert4,forgive6,moralcert5,link_bla,link_his,link_asi,link_whi,link_hpi,link_nat,selfmon1,selfmon2,selfmon3,selfmon4,selfmon5,selfmon6,inc_anes,inc_cps,inc_cpsmod,home_anes,home_cps,viol3_dems,viol3_reps,viol3_both,viol1,viol2a,viol2b,exptravel_ever,exphomesch,expconvert,expholiday,expshark,exparrest,exppubasst,expfight,expavoid,callout_social,callout_person,expknowimmig,expbuyus,expretire,expknowpris,birthyr,sex,educ,state,children,marital1,marital2,citizen1,citizen2,geer1896,admit,mauga,pk_cjus,pk_germ,pk_sen,pk_spend,whites_1,whites_2,whites_3,whites_4,whites_5,whites_6,whites_7,blacks_1,blacks_2,blacks_3,blacks_4,blacks_5,blacks_6,blacks_7,hisp_1,hisp_2,hisp_3,hisp_4,hisp_5,hisp_6,hisp_7,asians_1,asians_2,asians_3,asians_4,asians_5,asians_6,asians_7,survexp1,survexp2,dejavu,serious,form,INSTRUCTION_GROUP,FEEDBACK_GROUP,XGOVT,XFORGIVE,XCONTACT,RAND_INC,surv_comp,USIPAddress,age,home_ownership,income,vote20turnoutjb,particip_count,pk_mauga_correct,pk_germ_correct,pk_cjus_correct,pk_sen_correct,pk_spend_correct,pk_cjus_correctb,pk_index,pidstr1_dr,pidstr1_ind,pidstr2_dr,pidstr2_ind,pidstr3_dr,pidstr3_ind,pid7,pid7str,hispanic,hispanic_white,nonhispanic_white,hispanicr,race1_white,race1_black,race1_namer,race1_asian,race1_hpi,rr_scale,white,black,namer,asian,hpi,mixed,race7,vidx,vidknow
773,"4/13/2020 21:07","4/13/2020 21:57",3044,"4/13/2020 21:57","R_2DMSOKlpCoAJi9i","AppleWebKit","605.1.15","Macintosh","834x1194",1,1,7,77,4,5,2,7,1,6,7,1,3,2,3,4,1,2,2,4,2,0,0,0,0,0,0,0,1,0,7,4,7,60,40,25,15,10,60,0,60,70,55,0,65,0,80,60,75,50,50,50,50,25,40,50,40,10,90,60,35,55,20,1,1,1,5,3,3,2,1,2,77,5,5,77,2,5,4,5,2,2,5,77,4,5,5,5,4,5,5,77,3,4,4,4,1,4,4,1,2,1,7,77,5,7,77,4,2,6,2,1,77,77,1,1,77,77,4,77,5,1,77,1,2,4,7,7,1,1,1,1,4,1,2,4,5,3,7,1,5,4,2,3,3,4,2,2,77,2,7,77,7,77,4,3,3,2,2,1,2,3,3,2,1,2,1,6,6,7,1,1,1,1,7,1,3,66,6,3,1,3,2,4,2,2,3,4,1,"",6,7,2,6,6,2,6,1,1,1,0,1,0,0,0,0,1,5,6,3,3,5,3,5,3,5,4,"Irish","777. NA: Form 1",999,2,1,0,0,0,0,7,7,7,7,7,6,6,6,5,6,6,6,6,1,6,6,6,6,1,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,3,7,6,6,5,2,0,0,0,0,0,0,1,0,0,0,0,1,0,7,7,7,7,7,7,7,7,7,1,3,66,2,2,3,66,3,3,3,3,4,4,2,3,2,2,1,1,3,1,6,4,3,4,5,4,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,66,26,66,3,7,6,6,5,5,1,7,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1959,1,5,46,0,1,6,1,7,1896,6,"lt governor of samoa","chief justice us supreme court","chancellor of germany",6,1,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,5,5,0,5,1,0,0,2,2,2,2,3,1,60,2,26,1,1,1,1,1,1,1,1,1,6,1,6,3,6,2,4,0,0,0,1,9,1,0,0,0,0,5,1,0,0,0,0,0,1,1,0
2620,"4/14/2020 13:26","4/14/2020 14:02",2145,"4/14/2020 14:02","R_1FeqcPOasuy7ooF","Chrome","69.0.3497.81","Windows NT 10.0","1024x820",1,1,7,77,3,4,3,7,1,6,7,1,2,2,1,2,2,3,2,3,3,0,0,0,0,1,0,0,0,0,0,4,4,75,0,0,0,0,0,0,0,75,999,0,0,999,999,999,999,100,100,100,100,0,0,999,0,999,999,999,999,100,0,1,1,1,2,2,2,2,2,2,77,5,2,77,3,2,2,2,3,2,4,77,4,4,4,4,4,4,4,77,4,4,4,4,4,4,4,3,3,5,2,77,3,5,77,6,2,6,1,2,77,77,2,2,77,77,3,77,2,2,77,1,1,7,1,7,2,2,2,2,4,1,2,2,5,3,4,2,3,2,2,1,2,1,6,1,77,2,7,77,7,77,1,3,3,4,2,2,3,3,1,2,2,1,2,4,4,4,2,2,2,4,7,1,1,66,1,6,4,3,4,2,3,3,3,3,1,"",6,7,1,1,2,1,4,1,0,0,0,0,0,0,0,0,5,66,4,4,4,5,4,5,4,5,5,"english","777. NA: Form 1",999,2,1,0,0,0,0,7,7,7,7,7,6,6,6,4,6,6,6,6,3,6,6,6,6,3,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,2,7,6,4,6,2,0,0,0,0,0,0,2,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,4,3,5,66,5,2,3,66,2,2,3,4,3,4,3,3,3,3,2,4,1,2,6,1,4,2,3,3,3,1,7,7,7,7,7,7,7,7,7,7,7,7,66,15,66,3,7,3,6,6,4,1,7,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1944,2,3,33,0,3,2,1,7,1999,6,"don't know","don't know","don't know",8,2,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,20,20,0,5,1,2,0,2,1,0,2,2,1,75,2,15,1,1,0,0,0,0,0,0,0,4,6,3,6,4,6,1,3,0,0,1,9,1,0,0,0,0,9,1,0,0,0,0,0,1,0,0
2152,"4/14/2020 14:23","4/14/2020 14:40",991,"4/14/2020 14:40","R_2t4mVcnBvqvlz08","Chrome","81.0.4044.92","Windows NT 10.0","1920x1080",1,1,3,77,5,2,1,1,1,6,7,1,4,1,1,1,4,1,4,1,1,0,0,0,1,0,1,0,0,0,2,2,2,90,10,15,15,5,75,80,10,60,50,0,5,0,25,10,90,90,95,90,90,0,50,10,90,0,50,20,10,80,30,2,1,1,2,2,1,1,1,2,77,5,1,77,2,2,2,1,3,1,5,77,5,5,5,5,5,5,4,77,5,5,4,4,4,5,2,3,3,3,1,77,2,3,77,6,1,6,1,1,77,77,2,2,77,77,2,77,2,2,77,1,9,4,5,4,1,1,1,1,7,1,5,1,5,4,3,1,1,2,1,4,2,7,1,1,77,1,3,77,3,77,4,3,3,3,1,1,3,3,3,2,1,1,1,4,4,4,1,4,1,3,7,1,1,66,2,6,3,2,2,2,4,2,3,3,12,"",3,7,2,6,6,6,6,1,1,1,0,1,1,1,0,0,2,3,3,4,3,5,3,5,4,5,5,"german","777. NA: Form 1",999,2,1,0,0,0,0,7,7,7,7,7,6,6,6,4,6,6,6,6,3,6,6,6,6,3,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,3,7,6,6,5,2,0,0,0,0,0,0,2,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,5,1,5,66,5,3,3,66,4,3,3,2,3,3,4,2,2,3,3,2,2,3,6,3,2,3,2,3,2,4,7,7,7,7,7,7,7,7,7,7,7,7,66,66,3,1,7,1,6,6,5,1,7,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1977,1,4,35,0,3,2,1,7,1954,5,"repub;ican","head of state","supreme court",6,4,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,0,1,0,5,1,2,1,2,1,0,3,2,1,42,1,3,1,2,0,0,0,1,0,0,.25,3,6,2,6,2,6,2,2,0,0,1,9,1,0,0,0,0,9,1,0,0,0,0,0,1,3,0
137,"4/15/2020 21:53","4/15/2020 22:15",1320,"4/15/2020 22:15","R_Ultf2laKaTbxyvv","Chrome","80.0.3987.163","Windows NT 10.0","1536x864",1,1,7,77,4,5,1,2,1,6,7,1,5,4,4,4,5,2,5,4,3,0,1,0,0,0,0,1,1,0,2,4,6,100,0,0,0,0,0,0,0,100,10,0,90,0,100,100,75,90,90,80,60,0,0,0,0,0,80,70,20,90,10,3,1,1,2,1,1,1,1,1,77,5,1,77,1,2,1,1,5,1,5,77,5,5,5,5,1,5,5,77,4,5,5,5,1,3,1,1,1,1,7,77,5,7,77,4,1,5,2,2,77,77,1,2,77,77,4,77,7,1,77,1,1,7,7,7,2,2,2,2,7,1,4,1,5,4,7,1,2,3,2,2,2,2,7,2,77,1,7,77,7,77,6,4,3,2,2,1,2,4,3,2,2,1,2,4,6,6,1,3,2,5,7,1,1,66,1,6,4,4,3,1,5,5,2,3,2,"",6,7,1,4,6,2,6,1,0,0,0,0,0,0,0,0,3,66,5,3,4,5,4,5,1,5,4,"German","777. NA: Form 1",999,2,1,0,0,0,0,7,7,7,7,7,6,6,6,5,6,6,6,6,5,6,6,6,6,2,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,3,7,6,6,5,2,0,0,0,0,0,0,2,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,1,1,3,66,4,3,3,66,2,1,3,2,2,4,2,5,1,2,1,2,3,2,6,1,4,3,5,2,1,3,7,7,7,7,7,7,7,7,7,7,7,7,66,21,66,2,7,1,6,6,5,1,7,1,2,2,1,2,2,2,2,1,2,1,1,1,1,2,1951,2,3,32,0,1,6,1,7,1898,6,"senator","chief justice of the supreme court","chancellor of germany",6,4,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,25,20,0,5,1,0,0,2,1,0,2,3,1,68,2,21,1,3,0,1,1,1,0,1,.75,4,6,4,6,3,6,1,3,0,0,1,9,1,0,0,0,0,15,1,0,0,0,0,0,1,2,0
2617,"4/10/2020 15:41","4/10/2020 16:17",2141,"4/10/2020 16:17","R_3dRJFcA2DKut39C","Firefox","74","Windows NT 10.0","1920x1080",1,1,7,77,3,3,2,7,1,6,7,2,1,4,4,1,1,4,2,4,4,0,0,0,1,1,0,0,1,0,5,5,4,70,50,50,20,60,30,20,50,40,60,10,30,60,50,50,70,80,80,80,80,80,80,80,80,80,80,80,80,40,30,1,1,1,2,5,2,2,2,6,77,5,2,77,4,5,5,4,2,3,4,77,4,2,4,5,2,3,4,77,2,2,3,2,2,3,5,4,5,2,7,77,2,7,77,5,1,6,1,1,77,77,1,1,77,77,3,77,1,2,77,1,2,7,1,7,1,1,2,2,6,2,5,2,5,3,7,2,2,2,2,4,3,6,1,2,77,3,7,77,7,77,1,4,4,5,2,1,3,1,2,2,2,2,2,6,6,6,2,4,2,5,6,3,3,66,6,1,1,3,3,2,4,5,2,3,2,"",6,7,2,6,6,2,6,1,1,1,0,1,0,0,0,0,3,7,4,3,3,4,3,5,4,5,5,"German Polish","777. NA: Form 1",999,2,1,0,0,0,0,7,7,7,7,7,6,6,6,3,6,6,6,6,3,6,6,6,6,3,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,7,6,6,5,2,0,0,0,0,0,0,2,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,2,1,1,66,1,2,1,66,3,1,1,5,3,3,1,2,1,1,1,4,4,3,6,3,4,1,5,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,22,66,66,1,7,1,6,6,5,1,7,1,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1962,1,6,5,0,3,2,1,7,2000,5,"king","chief justice","prime minister of germany",6,1,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,5,3,0,5,1,2,1,2,1,0,1,2,1,57,1,22,1,3,0,1,1,1,1,1,1,6,1,6,3,6,3,3,1,0,0,1,9,1,0,0,0,0,13,1,0,0,0,0,0,1,1,1
2967,"4/14/2020 11:11","4/14/2020 12:18",4068,"4/14/2020 12:18","R_2CNBckHzWzfdSwk","Chrome","75.0.3770.143","Android 9","800x1280",2,1,2,77,4,2,1,3,1,6,7,2,4,3,2,3,3,2,1,3,2,0,0,0,0,0,0,0,0,1,3,4,4,0,80,75,60,50,999,999,999,50,999,50,50,999,999,60,999,50,50,50,50,25,50,50,50,50,50,50,80,25,75,2,2,2,1,6,7,5,5,6,77,5,4,77,5,5,5,5,5,5,3,77,3,3,3,3,3,3,3,77,3,3,3,3,3,3,5,3,3,4,2,77,5,6,77,4,4,4,2,3,77,77,2,3,77,77,3,77,4,4,77,1,8,7,1,7,1,2,2,2,4,7,1,4,4,6,4,1,4,3,3,3,5,4,4,1,77,3,4,77,4,77,4,4,3,4,3,1,2,3,3,2,2,2,1,4,4,4,2,3,2,3,3,5,2,66,2,6,3,2,3,3,4,4,3,4,12,"",3,7,2,6,6,6,6,1,0,0,0,1,0,0,0,0,3,66,4,4,4,3,4,5,4,5,5,"Irish","777. NA: Form 1",999,2,1,0,0,0,0,7,7,7,7,7,6,6,6,4,6,6,6,6,2,6,6,6,6,2,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7,5,6,6,2,0,0,0,0,0,0,1,0,1,0,1,0,0,7,7,7,7,7,7,7,7,7,3,3,4,66,3,3,3,66,2,1,1,3,3,3,1,1,3,2,1,3,2,2,6,3,4,1,2,1,3,1,7,7,7,7,7,7,7,7,7,7,7,7,66,66,14,3,7,6,2,6,5,1,7,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1954,2,3,38,0,1,6,1,7,1896,6,"don't know","supreme court justice","don't know",4,1,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,0,15,0,5,1,0,0,2,1,2,3,2,1,65,2,14,1,0,0,0,.5,0,1,1,.5,3,6,2,6,3,6,6,2,0,0,1,9,1,0,0,0,0,10,1,0,0,0,0,0,1,0,0
1320,"4/11/2020 18:17","4/11/2020 18:43",1542,"4/11/2020 18:43","R_2P7HA4kQzhOApQv","Chrome","80.0.3987.162","Android 8.1.0","360x720",3,1,3,77,4,3,1,1,1,6,7,1,4,3,1,3,4,2,4,3,1,0,0,0,0,0,0,0,0,1,0,4,4,50,40,30,50,60,50,50,50,50,50,50,50,50,50,50,50,50,60,40,40,20,40,50,20,50,50,20,20,79,40,1,1,2,2,4,4,3,3,3,77,5,3,77,3,4,2,2,2,2,4,77,4,4,4,4,3,2,1,77,1,3,1,3,4,1,2,2,2,4,3,77,2,2,77,4,3,4,1,1,77,77,1,2,77,77,3,77,3,4,77,2,6,7,5,4,1,1,1,1,4,4,3,3,3,4,4,3,3,3,2,2,2,5,4,1,77,3,4,77,3,77,4,2,3,2,4,1,4,2,3,2,2,1,1,3,4,4,2,3,2,2,4,4,1,66,2,6,4,2,2,3,2,3,3,3,1,"",6,7,2,6,6,2,6,1,0,1,1,1,1,0,0,0,1,66,5,3,3,4,4,5,3,4,5,"Caucasian","777. NA: Form 1",999,2,1,0,0,0,0,7,7,7,7,7,6,6,6,3,6,6,6,6,2,6,6,6,6,1,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,7,6,6,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0,7,7,7,7,7,7,7,7,7,3,4,4,66,3,3,3,66,3,4,3,3,3,3,3,3,3,5,3,2,2,4,6,3,2,2,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,3,66,66,3,7,2,6,6,5,3,7,2,2,2,2,2,1,1,1,2,2,1,2,2,2,1,1988,2,2,24,0,5,2,1,7,1956,5,"not sure","senator","not sure",12,1,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,4,2,0,5,1,2,1,2,1,1,1,1,1,31,2,3,1,0,0,0,0,0,1,0,.25,4,6,2,6,2,6,2,2,0,0,1,9,1,0,0,0,0,7,1,0,0,0,0,0,1,3,1
2624,"4/14/2020 10:27","4/14/2020 11:03",2155,"4/14/2020 11:03","R_2dYfXbmoaqkOIXr","Edge","81.0.416.53","Windows NT 10.0","1920x1080",1,1,1,77,2,3,1,1,1,6,7,2,2,3,4,4,1,5,1,4,5,0,0,0,1,1,0,1,0,0,1,4,4,0,35,5,65,10,85,85,3,0,60,90,0,80,0,0,50,5,50,40,55,45,45,55,65,80,45,2,45,0,70,1,2,2,1,7,7,7,7,7,77,5,5,77,5,5,5,5,1,5,4,77,3,4,4,5,4,4,4,77,3,4,3,2,4,3,5,5,5,7,2,77,1,1,77,2,2,7,1,1,77,77,2,1,77,77,2,77,1,5,77,2,5,6,2,6,1,1,1,1,5,7,2,4,3,7,1,3,3,1,3,3,3,7,1,1,77,3,3,77,6,77,5,4,4,5,3,2,3,3,4,2,2,2,1,6,6,6,2,3,2,5,1,7,2,66,1,6,2,5,4,1,4,5,1,2,1,"",6,7,2,6,6,2,6,0,0,0,0,1,0,0,0,0,66,66,5,3,5,4,3,3,2,2,4,"GermanFrench","777. NA: Form 1",999,2,1,0,0,0,0,7,7,7,7,7,6,6,6,3,6,6,6,6,4,6,6,6,6,4,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,7,6,6,4,2,0,0,0,0,0,0,1,1,1,0,0,1,0,7,7,7,7,7,7,7,7,7,3,3,5,66,4,3,2,66,2,2,5,4,2,4,3,5,3,4,1,2,3,3,6,4,5,5,4,5,3,3,7,7,7,7,7,7,7,7,7,7,7,7,5,66,66,2,7,6,4,6,3,1,7,2,2,2,1,2,2,1,2,1,1,1,2,2,2,2,1958,1,8,33,0,5,2,1,7,1900,5,"no clue","chief justice of the supreme court","chancellor of germany",4,1,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,99,50,0,5,1,2,1,1,1,2,1,2,1,61,2,5,1,3,0,1,1,0,1,1,.75,2,6,5,6,4,6,7,3,0,0,1,9,1,0,0,0,0,15,1,0,0,0,0,0,1,3,1
2250,"4/12/2020 13:15","4/12/2020 13:37",1318,"4/12/2020 13:37","R_2150yDZntdJWWGZ","Safari iPad","Unknown","iPad","768x1024",1,2,1,77,2,1,1,1,2,6,7,4,5,5,5,3,2,4,3,5,4,0,1,1,0,0,0,0,0,0,3,2,1,45,100,50,43,88,75,85,95,45,100,20,35,55,70,80,75,20,40,70,55,30,20,75,98,90,75,20,30,45,90,1,2,1,2,1,1,3,2,1,77,5,5,77,4,3,4,1,2,1,2,77,3,1,2,3,1,2,2,77,3,1,2,3,1,2,2,4,5,1,2,77,1,2,77,1,2,1,1,2,77,77,1,2,77,77,1,77,1,2,77,1,6,1,2,3,1,1,2,1,2,5,4,2,5,2,3,1,4,5,1,2,2,2,4,1,77,1,3,77,1,77,4,3,2,2,4,1,2,3,4,1,1,2,1,2,1,2,1,2,2,1,5,2,3,66,6,1,2,3,2,2,1,3,2,3,2,"",6,7,1,2,6,1,1,1,0,1,0,1,0,0,0,0,2,66,1,2,1,2,4,2,1,2,4,"Hdudhhd","777. NA: Form 1",999,2,0,1,0,0,0,7,7,7,7,7,6,6,6,6,1,6,6,6,6,2,6,6,6,6,9,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,1,7,2,6,6,1,0,1,1,0,0,0,2,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,2,1,66,1,1,2,66,5,2,4,3,2,4,4,5,3,2,4,3,4,5,6,4,4,2,5,4,4,2,5,7,7,7,7,7,7,7,7,7,7,7,7,66,66,21,1,7,2,6,6,2,4,7,2,2,1,2,1,1,2,1,1,2,2,2,1,1,1,1997,1,6,20,1,4,2,1,7,1995,6,"hdhhd","nduud","jduud",2,1,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,0,0,0,5,1,1,0,2,2,2,3,2,1,22,1,21,1,2,0,0,0,0,1,0,.25,6,2,6,3,6,2,3,1,0,0,0,9,0,1,0,0,0,8,0,1,0,0,0,0,2,3,0
980,"4/18/2020 14:35","4/18/2020 15:51",4556,"4/18/2020 15:51","R_2zZwjHc0eUhjiz1","Chrome","80.0.3987.163","Windows NT 10.0","1440x900",1,1,6,77,4,4,1,1,1,6,7,1,3,4,3,4,4,3,2,2,3,0,1,0,0,1,0,1,0,0,2,2,2,80,50,50,50,50,20,30,30,80,50,50,30,10,40,40,60,80,30,30,50,60,60,50,50,40,50,40,50,50,60,1,1,1,2,6,3,3,2,3,77,5,2,77,1,2,3,3,2,1,1,77,2,2,3,2,1,2,2,77,1,2,3,2,3,3,1,2,2,3,2,77,2,3,77,4,3,2,1,1,77,77,1,1,77,77,2,77,3,2,77,1,1,5,5,5,1,1,1,1,3,2,2,3,3,2,2,2,2,2,1,2,1,2,2,1,77,2,3,77,2,77,2,2,2,2,4,1,4,2,3,1,1,1,1,3,3,2,1,4,1,4,5,5,1,66,1,6,1,2,4,2,3,4,3,3,2,"",6,7,2,6,6,1,2,1,1,1,0,1,0,0,0,0,2,3,2,2,1,1,2,2,2,2,2,"unsure","777. NA: Form 1",999,2,1,0,0,0,0,7,7,7,7,7,6,6,6,1,6,6,6,6,4,6,6,6,6,3,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,7,6,2,6,1,1,0,0,0,0,0,1,1,1,0,1,0,0,7,7,7,7,7,7,7,7,7,2,2,66,1,2,4,66,2,1,2,2,3,3,3,3,4,3,4,2,3,3,6,2,3,4,3,2,3,4,4,7,7,7,7,7,7,7,7,7,7,7,7,66,15,66,3,7,5,6,6,2,2,7,1,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1983,1,5,5,1,1,6,1,7,2017,6,"accountant","senator","unsure",6,1,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,2,2,1,3,1,2,0,2,2,2,2,3,1,36,2,15,1,3,0,0,0,1,1,0,.5,1,6,2,6,4,6,1,3,0,0,1,9,1,0,0,0,0,10,1,0,0,0,0,0,1,3,0
